,Price
998,6000000.0
999,11500000.0
1000,5000000.0
1001,10400000.0
1002,11500000.0
1003,4000000.0
1004,13500000.0
1005,9000000.0
1006,7290000.000000001
1007,3950000.0
1008,12600000.0
1009,10500000.0
1010,4500000.0
1011,6000000.0
1012,10000000.0
1013,7541062.9170638705
1014,7859999.999999999
1015,3500000.0
1016,14500000.0
1017,7200000.0
1018,7500000.0
1019,14700000.0
1020,1500000.0
1021,8500000.0
1022,3700000.0
1023,4800000.0
1024,6250000.0
1025,6950000.0
1026,12000000.0
1027,2800000.0
1028,4790000.0
1029,6500000.0
1030,8500000.0
1031,4000000.0
1032,7500000.0
1033,7541062.9170638705
1034,12200000.0
1035,9500000.0
1036,7680000.0
1037,3500000.0
1038,7800000.0
1039,6400000.0
1040,12800000.0
1041,4500000.0
1042,9100000.0
1043,7500000.0
1044,13100000.0
1045,13400000.0
1046,8570000.0
1047,7859999.999999999
1048,12600000.0
1049,6500000.0
1050,11500000.0
1051,3100000.0
1052,7500000.0
1053,14000000.0
1054,7500000.0
1055,4620000.0
1056,4200000.0
1057,7300000.0
1058,7500000.0
1059,7780000.0
1060,7759999.999999999
1061,8500000.0
1062,9200000.0
1063,4620000.0
1064,11000000.0
1065,9500000.0
1066,8220000.0
1067,5500000.0
1068,4500000.0
1069,3500000.0
1070,7290000.000000001
1071,7290000.000000001
1072,11000000.0
1073,11500000.0
1074,6400000.0
1075,7859999.999999999
1076,4000000.0
1077,6000000.0
1078,7900000.0
1079,4230000.0
1080,10500000.0
1081,6300000.0
1082,7209999.999999999
1083,7800000.0
1084,3000000.0
1085,4800000.0
1086,1980000.0
1087,6000000.0
1088,4200000.0
1089,11000000.0
1090,4230000.0
1091,7209999.999999999
1092,8220000.0
1093,3800000.0
1094,7290000.000000001
1095,12600000.0
1096,11200000.000000002
1097,12500000.0
1098,11200000.000000002
1099,14700000.0
1100,7250000.0
1101,7780000.0
1102,8500000.0
1103,7200000.0
1104,7290000.000000001
1105,4800000.0
1106,9000000.0
1107,4400000.0
1108,2950000.0
1109,11000000.0
1110,4720000.0
1111,7859999.999999999
1112,6950000.0
1113,7000000.0
1114,8500000.0
1115,10000000.0
1116,4280000.0
1117,10400000.0
1118,3000000.0
1119,10000000.0
1120,7541062.9170638705
1121,11500000.0
1122,5500000.0
1123,14900000.0
1124,13500000.0
1125,5500000.0
1126,14700000.0
1127,13000000.0
1128,12000000.0
1129,7500000.0
1130,6200000.0
1131,6200000.0
1132,11500000.0
1133,13400000.0
1134,4400000.0
1135,6520000.0
1136,4500000.0
1137,9800000.0
1138,7500000.0
1139,7300000.0
1140,11500000.0
1141,12600000.0
1142,5200000.0
1143,7000000.0
1144,5200000.0
1145,12800000.0
1146,7500000.0
1147,13300000.0
1148,13100000.0
1149,5560000.0
1150,6950000.0
1151,6500000.0
1152,4200000.0
1153,6600000.0
1154,4400000.0
1155,8220000.0
1156,3270000.0000000005
1157,6000000.0
1158,4620000.0
1159,14700000.0
1160,11000000.0
1161,7541062.9170638705
